Model,P1,P2,P3,Fem,Tib,Foot
1,1.0190777688102,0.813717623340336,0.7226174398885,1.09443170498636,0.656583779904298,1.05858680724172
2,0.912683942366808,0.73235713447467,0.717206030385656,0.904769344449296,0.728748064707599,0.837195213049947
3,1.11619447148407,1.05448148314909,1.2594964915581,1.11352851533642,1.30180860074046,1.06547989990174
4,1.02298837989071,0.823689780343945,0.908993987595699,1.12936795080673,1.1579680383115,1.33268515600312
5,1.18978405868808,1.02088138470916,1.1020268022852,1.10960650872134,0.857549365705723,0.811856581865301
6,1.13392669754732,1.17159708427438,1.18595552584084,1.26222751478807,1.21293505085107,0.978881943066325
7,0.885801472183955,0.780389192101953,1.02796819747703,1.08100418471856,1.31378167520072,1.21404680446249
8,1.19533942555992,1.1622627382644,1.07013521547696,1.1798673421745,1.23274878837641,1.17799468726586
9,1.02035819531247,1.09562389517253,1.00298130364886,1.07407330037552,1.14359394231359,1.00906122682707
10,0.662862747034947,0.922757652684212,0.676675525492871,0.778090625608209,0.785407765251341,0.761585109083298
11,1.29343447643026,1.01746474931808,0.996039992531059,1.23017675549088,1.17653559534461,1.24767032307385
12,1.00073418374356,1.03809339132953,0.78749304572615,0.969159830106041,0.749056631660859,0.901245626163949
13,0.883877851518058,0.824302244888431,0.755717527715643,1.10741714720629,1.03060488938021,1.18329865318065
14,0.796958913077439,0.923933320321843,0.707177202799762,0.730660944098106,0.921684722917378,1.00360660966824
15,0.655347163555797,0.664895864747521,0.755262683566255,0.667877611308009,0.653430013805167,1.1976826483851
16,1.12112312901886,0.94741512262104,1.0327978307658,0.887957617770482,1.3257767039268,1.09679567372145
17,0.795490453398711,0.746434187208803,0.792405290732403,1.0557691579821,0.890587672920231,0.909639456629788
18,0.843806210291601,0.726057776555203,0.830660700919991,1.22708329205015,1.04555077092119,0.850442483108127
19,1.05122505387306,1.00019897992763,1.12921799391108,1.15618087986187,0.821824064156267,1.01668441540912
20,1.31496060368775,1.14949533794811,1.22065818783096,1.27643040960757,1.01562376662866,0.87567253638527
21,0.678223284548736,0.76948430900841,0.883324574512413,0.794083757844933,0.878938155830448,0.753293888333755
22,1.15065160169006,1.1947246707771,1.28150706087557,1.31376733753081,1.07905125455496,1.22171153452299
23,0.779780593624417,0.852423454064079,0.983304625958114,0.850293280769362,0.939081517551215,0.964981744371441
24,0.78201537253063,0.68977240278805,0.864757445736661,0.924874527253245,0.738713935038297,0.723533039456007
25,0.895496009146,1.16061001193287,1.13789246718787,1.17004883236423,0.955666575643546,1.18583332261081
26,0.790295278048664,0.844458520979536,0.828973665420706,0.892799016625965,0.919455594891879,0.800980444085122
27,0.943065783816215,0.829897047399376,0.76339689107266,0.868354082968446,0.888365629153794,0.84065100814676
28,1.33838794849913,1.3145044364355,1.13373498805513,1.08840571268121,0.752473644633632,1.33077987898414
29,1.04049662454562,0.850795011722129,0.811752470704617,0.871967186714627,0.818881284968134,0.788204072301155
30,0.857241538233275,1.00261617898917,0.765920015822355,1.0096932873418,0.732677654675365,0.653613927110167
31,0.987765120518353,0.76925877897958,0.807380815219841,0.889490862919113,0.818896579694891,0.80322621122285
32,0.867716748174437,0.657335233400532,0.916071692330303,0.855511451942777,0.917546065659961,1.19165600840448
33,1.00609536880151,0.868775850150391,1.14536943832999,0.846549177154645,0.90518222295198,0.719164630715206
34,1.33024503516186,1.30453845664831,1.32898665278065,1.17875470651704,1.10180656430479,1.26415064159566
35,0.753358572727232,1.01850770556251,0.884259857143789,0.751718338157422,0.999813197717524,0.744460455000527
